;municipio;getulio_vargas;cristiano_machado;eduardo_gomes;joao_mangabeira;brancos_presidente;nulos_presidente;votantes;eleitores;pgetulio;pcristiano;peduardo;pjoao;pnulo;pbrancos;Urban_Tax_1950;Pop_Resid_1950;Pop.Urban_1950;PIB_Capt_1950;Pib_Mun_1949;Pib_Ind_1949;Pib_Agro_1949;Pib_Ser_1949;Alistados1949/Pop-1950
3136702;Juíz de Fóra;19617;2312;9629;26;808;868;33260;16151;0,589807577;0,069512928;0,289506915;0,00078172;0,026097414;0,024293446;0,381284993;126989;48419;6,749162871;326787,717;106532,9279;18686,59356;201568,1955;0,270952602
3137809;Lambarí;2540;819;1708;0;64;20;5151;6507;0,493108134;0,158998253;0,3315861;0;0,003882741;0,012424772;0,468389283;9443;4423;4,457606012;19715,99139;1825,311443;1886,358807;16004,32114;0,5255745
3138203;Lavras;3726;2152;2807;2;176;63;8926;12582;0,41743222;0,241093435;0,314474569;0,000224065;0,007058033;0,019717679;0,185718462;27364;5082;8,315712931;42260,45311;7210,276837;8619,087829;26431,08845;0,458375968
3138401;Leopoldina;3798;4505;1829;8;219;270;10629;14379;0,357324301;0,423840437;0,172076395;0,000752658;0,025402202;0,020604008;0,223518962;40529;9059;5,662297219;51294,7505;9967,822097;21818,26788;19508,66052;0,289422389
3138609;Lima Duarte;1413;1153;2017;0;97;113;4793;6618;0,294804924;0,240559149;0,420822032;0;0,023576048;0,020237847;0,166634099;20470;3411;4,671703936;15935,18213;1421,092961;10505,02269;4009,066474;0,277870054
3138807;Luz;572;603;1373;0;115;15;2678;4245;0,213592233;0,225168036;0,512696042;0;0,005601195;0,042942494;0,15427328;13327;2056;8,191582968;16841,89458;976,927251;7719,055374;8145,911958;0,284760261
3139003;Machado;1484;997;392;2;69;27;2971;4083;0,499495119;0,335577247;0,131942107;0,000673174;0,009087849;0,023224504;0,073057953;22708;1659;16,6830835;27677,23553;3083,055839;11589,47084;13004,70886;0,424211732
3139409;Manhuaçú;3363;1467;2585;0;206;385;8006;12358;0,420059955;0,183237572;0,322882838;0;0,048088933;0,025730702;0,187354304;34747;6510;5,040095912;32811,02439;3857,478332;16587,73225;12365,8138;0,288456557
3139805;Mar de Espanha;1487;827;843;0;136;51;3344;4281;0,444677033;0,247308612;0,252093301;0;0,015251196;0,040669856;0,171748439;19383;3329;6,797685947;22629,49652;3825,441446;12268,15865;6535,896418;0,179899912
3139508;Menhumirim;1925;1976;2022;0;99;212;6234;9589;0,308790504;0,316971447;0,324350337;0;0,034007058;0,015880654;0,244202846;27686;6761;8,38244212;56673,69118;11819,23767;30779,59543;14074,85807;0,310879145
3140001;Meriana;3058;1919;3378;0;196;53;8604;13208;0,355416086;0,223035797;0,392608089;0;0,006159926;0,022780102;0,307526749;32524;10002;1,526173107;15264,78341;5581,141878;3617,332983;6066,308552;0,331509039
3141801;Mines Novaes;61;1862;1101;0;63;109;3196;4864;0,019086358;0,582603254;0,344493116;0;0,034105131;0,01971214;0,047598522;48720;2319;7,708175558;17875,25912;33,22343688;15874,23891;1967,796771;0,153222496
3142205;Miraí;1267;307;1566;0;62;140;3342;5177;0,379114303;0,091861161;0,468581688;0;0,041891083;0,018551765;0,18488529;14079;2603;5,704133113;14847,85849;3416,476759;6706,752798;4724,628936;0,29838767
3142908;Monte Azul;126;1056;472;0;33;57;1744;2686;0,072247706;0,605504587;0,270642202;0;0,032683486;0,018922018;0,12251475;20169;2471;6,375311743;15753,39532;12,26103028;14616,67899;1124,455298;0,175318558
3143104;Monte Carmelo;488;2250;2175;0;126;59;5098;6533;0,095723813;0,441349549;0,426637897;0;0,011573166;0,024715575;0,171888266;23556;4049;4,464283698;18075,88469;1372,444357;7714,186905;8989,253432;0,199779249
3143203;Monte Santo de Minas;1061;1209;1525;1;124;47;3967;5756;0,267456516;0,304764306;0,384421477;0,00025208;0,011847744;0,031257877;0,169371138;17317;2933;9,411974609;27605,32153;2953,326228;13110,35612;11541,63918;0,397239707
3143302;Montes Claros;4919;7853;1447;3;881;985;16088;34067;0,305755843;0,488127797;0,089942815;0,000186474;0,061225758;0,054761313;0,145143303;71736;10412;4,64064279;48318,37273;3658,928745;15215,96535;29443,47863;0,300867068
3144003;Mutim;31;9;2659;0;72;82;2853;7947;0,010865755;0,003154574;0,932001402;0;0,028741675;0,025236593;0,089046468;30602;2725;8,562755679;23333,50922;1009,359654;16979,79243;5344,35714;0,216652506
3144102;Muzambinho;1113;2147;2463;2;126;54;5905;9022;0,188484335;0,363590178;0,417104149;0,000338696;0,009144793;0,021337849;0,295415118;16140;4768;4,222997506;20135,25211;2231,50751;9253,105547;8650,639052;0,605947955
3144607;Nepomuceno;1124;288;1100;0;67;31;2610;3428;0,430651341;0,110344828;0,421455939;0;0,011877395;0,025670498;0,175491913;19414;3407;6,706442062;22848,8481;1484,375698;17582,21368;3782,258729;0,158699907
3144805;Nova Lima;6832;544;753;2;267;34;8432;14346;0,810246679;0,064516129;0,089302657;0,000237192;0,004032258;0,031665085;0,555626482;21932;12186;5,968784485;72735,60773;46432,12614;201,4240985;26102,05749;0,591874886
3145604;Oliveira;2055;3046;3536;0;256;86;8979;13128;0,228867357;0,339235995;0,393807774;0;0,009577904;0,02851097;0,208280255;23550;4905;4,739965195;23249,52928;3504,281556;11056,27497;8688,972755;0,695541401
3146008;Ouro Fino;1236;3228;3636;0;163;63;8326;11385;0,148450637;0,387701177;0,4367043;0;0,007566659;0,019577228;0,222831223;26455;5895;6,056348538;35702,17463;2687,143216;18445,02968;14570,00174;0,379398979
3146107;Ouro Preto;2937;917;2071;2;108;59;6094;10428;0,481949458;0,150475878;0,339842468;0,000328192;0,009681654;0,01772235;0,353084391;32859;11602;3,349515151;38861,07478;16517,18985;7176,516316;15167,36862;0,270610792
3146701;Palma;925;1497;1054;6;82;58;3622;5689;0,255383766;0,413307565;0,290999448;0,001656543;0,016013252;0,022639426;0,2015205;18415;3711;4,025048438;14936,95475;1429,39882;10900,86411;2606,691827;0,241542221
